Major Version,Minor Version,Build Number,Release date,End of support
Qlik Sense February 2022,Patch 1,14.54.4,23/02/2022,As per initial release
Qlik Sense February 2022,Initial release,14.54.2,15/02/2022,
Qlik Sense November 2021,Patch 4,14.44.9,27/01/2022,As per initial release
Qlik Sense November 2021,Patch 3,14.44.8,05/01/2022,As per initial release
Qlik Sense November 2021,Patch 2,14.44.7,17/12/2021,As per initial release
Qlik Sense November 2021,Patch 1,14.44.6,06/12/2021,As per initial release
Qlik Sense November 2021,Initial release,14.44.5,08/11/2021,08/11/2023
Qlik Sense August 2021,Patch 8,14.28.15,23/02/2022,As per initial release
Qlik Sense August 2021,Patch 7,14.28.14,27/01/2022,As per initial release
Qlik Sense August 2021,Patch 6,14.28.13,05/01/2022,As per initial release
Qlik Sense August 2021,Patch 5,14.28.12,,As per initial release
Qlik Sense August 2021,Patch 4,14.28.10,,As per initial release
Qlik Sense August 2021,Patch 3,14.28.9,,As per initial release
Qlik Sense August 2021,Patch 2,14.28.7,,As per initial release
Qlik Sense August 2021,Patch 1,14.28.5,,As per initial release
Qlik Sense August 2021,Initial release,14.28.3,23/08/2021,23/08/2023
Qlik Sense May 2021,Patch 12,14.20.20,27/01/2022,As per initial release
Qlik Sense May 2021,Patch 11,14.20.19,05/01/2022,As per initial release
Qlik Sense May 2021,Patch 10,14.20.18,,As per initial release
Qlik Sense May 2021,Patch 9,14.20.17,,As per initial release
Qlik Sense May 2021,Patch 8,14.20.16,,As per initial release
Qlik Sense May 2021,Patch 7,14.20.15,,As per initial release
Qlik Sense May 2021,Patch 6,14.20.14,,As per initial release
Qlik Sense May 2021,Patch 5,14.20.13,,As per initial release
Qlik Sense May 2021,Patch 4,14.20.10,,As per initial release
Qlik Sense May 2021,Patch 3,14.20.9,,As per initial release
Qlik Sense May 2021,Patch 2,14.20.8,,As per initial release
Qlik Sense May 2021,Patch 1,14.20.6,,As per initial release
Qlik Sense May 2021,Initial release,14.20.5,10/05/2021,10/05/2023
Qlik Sense February 2021,Patch 16,14.5.30,,As per initial release
Qlik Sense February 2021,Patch 15,14.5.29,,As per initial release
Qlik Sense February 2021,Patch 14,14.5.27,,As per initial release
Qlik Sense February 2021,Patch 13,14.5.26,,As per initial release
Qlik Sense February 2021,Patch 12,14.5.25,,As per initial release
Qlik Sense February 2021,Patch 11,14.5.24,,As per initial release
Qlik Sense February 2021,Patch 10,14.5.22,,As per initial release
Qlik Sense February 2021,Patch 9,14.5.21,,As per initial release
Qlik Sense February 2021,Patch 8,14.5.20,,As per initial release
Qlik Sense February 2021,Patch 7,14.5.19,,As per initial release
Qlik Sense February 2021,Patch 6,14.5.18,,As per initial release
Qlik Sense February 2021,Patch 5,14.5.16,,As per initial release
Qlik Sense February 2021,Patch 4,14.5.10,,As per initial release
Qlik Sense February 2021,Patch 3,14.5.9,,As per initial release
Qlik Sense February 2021,Patch 2,14.5.7,,As per initial release
Qlik Sense February 2021,Patch 1,14.5.6,,As per initial release
Qlik Sense February 2021,Initial release,14.5.4,09/02/2021,09/02/2023
Qlik Sense November 2020,Patch 19,13.102.27,,As per initial release
Qlik Sense November 2020,Patch 18,13.102.26,,As per initial release
Qlik Sense November 2020,Patch 17,13.102.25,,As per initial release
Qlik Sense November 2020,Patch 16,13.102.24,,As per initial release
Qlik Sense November 2020,Patch 15,13.102.23,,As per initial release
Qlik Sense November 2020,Patch 14,13.102.22,,As per initial release
Qlik Sense November 2020,Patch 13,13.102.21,,As per initial release
Qlik Sense November 2020,Patch 12,13.102.20,,As per initial release
Qlik Sense November 2020,Patch 11,13.102.19,,As per initial release
Qlik Sense November 2020,Patch 10,13.102.17,,As per initial release
Qlik Sense November 2020,Patch 9,13.102.16,,As per initial release
Qlik Sense November 2020,Patch 8,13.102.15,,As per initial release
Qlik Sense November 2020,Patch 7,13.102.14,,As per initial release
Qlik Sense November 2020,Patch 6,13.102.13,,As per initial release
Qlik Sense November 2020,Patch 5,13.102.12,,As per initial release
Qlik Sense November 2020,Patch 4,13.102.11,,As per initial release
Qlik Sense November 2020,Patch 3,13.102.10,,As per initial release
Qlik Sense November 2020,Patch 2,13.102.8,,As per initial release
Qlik Sense November 2020,Patch 1,13.102.6,,As per initial release
Qlik Sense November 2020,Initial release,13.102.5,10/11/2020,10/11/2022
Qlik Sense September 2020,Patch 15,13.95.23,,As per initial release
Qlik Sense September 2020,Patch 14,13.95.22,,As per initial release
Qlik Sense September 2020,Patch 13,13.95.21,,As per initial release
Qlik Sense September 2020,Patch 12,13.95.19,,As per initial release
Qlik Sense September 2020,Patch 11,13.95.15,,As per initial release
Qlik Sense September 2020,Patch 10,13.95.14,,As per initial release
Qlik Sense September 2020,Patch 9,13.95.13,,As per initial release
Qlik Sense September 2020,Patch 8,13.95.12,,As per initial release
Qlik Sense September 2020,Patch 7,13.95.10,,As per initial release
Qlik Sense September 2020,Patch 6,13.95.9,,As per initial release
Qlik Sense September 2020,Patch 5,13.95.8,,As per initial release
Qlik Sense September 2020,Patch 4,13.95.7,,As per initial release
Qlik Sense September 2020,Patch 3,13.95.6,,As per initial release
